1,-142,0
0.650357,-138.792,0
-0.389515,-135.667,0
-2.09269,-132.706,0
-4.41504,-129.985,0
-7.29644,-127.576,0
-10.6622,-125.54,0
-14.4253,-123.931,0
-18.4881,-122.79,0
-22.7455,-122.146,0
-27.0872,-122.016,0
-31.4007,-122.404,0
-35.5743,-123.3,0
-39.5,-124.679,0
-43.076,-126.508,0
-46.2098,-128.738,0
-48.8201,-131.311,0
-50.8394,-134.161,0
-52.2154,-137.214,0
-52.9124,-140.391,0
-52.9124,-143.609,0
-52.2154,-146.786,0
-50.8395,-149.839,0
-48.8201,-152.689,0
-46.2098,-155.262,0
-43.076,-157.492,0
-39.5,-159.32,0
-35.5744,-160.7,0
-31.4007,-161.596,0
-27.0872,-161.984,0
-22.7455,-161.854,0
-18.4882,-161.21,0
-14.4253,-160.069,0
-10.6623,-158.46,0
-7.29646,-156.424,0
-4.41506,-154.015,0
-2.0927,-151.294,0
-0.389527,-148.333,0
0.650352,-145.208,0
1,-142,0
